in s,C1 in V
-2.98398E+00,7.95522E-03
-2.98393E+00,7.97134E-03
-2.98388E+00,8.02847E-03
-2.98383E+00,8.14712E-03
-2.98378E+00,8.19692E-03
-2.98373E+00,8.20571E-03
-2.98368E+00,8.25259E-03
-2.98363E+00,8.30532E-03
-2.98358E+00,8.32583E-03
-2.98353E+00,8.36685E-03
-2.98348E+00,8.39321E-03
-2.98343E+00,8.44302E-03
-2.98338E+00,8.45620E-03
-2.98333E+00,8.53237E-03
-2.98328E+00,8.54995E-03
-2.98323E+00,8.59243E-03
-2.98318E+00,8.60562E-03
-2.98313E+00,8.57632E-03
-2.98307E+00,8.61587E-03
-2.98302E+00,8.65103E-03
-2.98297E+00,8.61440E-03
-2.98292E+00,8.62759E-03
-2.98287E+00,8.59390E-03
-2.98282E+00,8.58071E-03
-2.98277E+00,8.61147E-03
-2.98272E+00,8.58804E-03
-2.98267E+00,8.55728E-03
-2.98262E+00,8.51919E-03
-2.98257E+00,8.47231E-03
-2.98252E+00,8.46206E-03
-2.98247E+00,8.39614E-03
-2.98242E+00,8.37563E-03
-2.98237E+00,8.27749E-03
-2.98232E+00,8.14419E-03
-2.98227E+00,8.08267E-03
-2.98222E+00,8.00063E-03
-2.98217E+00,7.93179E-03
-2.98212E+00,7.84390E-03
-2.98207E+00,7.75894E-03
-2.98202E+00,7.71646E-03
-2.98197E+00,7.72817E-03
-2.98192E+00,7.67690E-03
-2.98187E+00,7.67983E-03
-2.98181E+00,7.67104E-03
-2.98176E+00,7.62856E-03
-2.98171E+00,7.60513E-03
-2.98166E+00,7.59487E-03
-2.98161E+00,7.51431E-03
-2.98156E+00,7.50552E-03
-2.98151E+00,7.44399E-03
-2.98146E+00,7.42202E-03
-2.98141E+00,7.41030E-03
-2.98136E+00,7.41470E-03
-2.98131E+00,7.38540E-03
-2.98126E+00,7.38394E-03
-2.98121E+00,7.34585E-03
-2.98116E+00,7.34878E-03
-2.98111E+00,7.29019E-03
-2.98106E+00,7.31362E-03
-2.98101E+00,7.32241E-03
-2.98096E+00,7.31802E-03
-2.98091E+00,7.24478E-03
-2.98086E+00,7.23892E-03
-2.98081E+00,7.23599E-03
-2.98076E+00,7.22427E-03
-2.98071E+00,7.18911E-03
-2.98066E+00,7.19204E-03
-2.98061E+00,7.18179E-03
-2.98055E+00,7.20962E-03
-2.98050E+00,7.24917E-03
-2.98045E+00,7.24917E-03
-2.98040E+00,7.19790E-03
-2.98035E+00,7.24038E-03
-2.98030E+00,7.18179E-03
-2.98025E+00,7.20083E-03
-2.98020E+00,7.16421E-03
-2.98015E+00,7.03091E-03
-2.98010E+00,6.98110E-03
-2.98005E+00,6.89614E-03
-2.98000E+00,6.87124E-03
-2.97995E+00,6.80825E-03
-2.97990E+00,6.71157E-03
-2.97985E+00,6.63833E-03
-2.97980E+00,6.59585E-03
-2.97975E+00,6.62222E-03
-2.97970E+00,6.60610E-03
-2.97965E+00,6.53140E-03
-2.97960E+00,6.53286E-03
-2.97955E+00,6.51089E-03
-2.97950E+00,6.51675E-03
-2.97945E+00,6.51382E-03
-2.97940E+00,6.52700E-03
-2.97935E+00,6.54751E-03
-2.97929E+00,6.56655E-03
-2.97924E+00,6.52114E-03
-2.97919E+00,6.53726E-03
-2.97914E+00,6.52993E-03
-2.97909E+00,6.57388E-03
-2.97904E+00,6.57827E-03
-2.97899E+00,6.58853E-03
-2.97894E+00,6.65005E-03
-2.97889E+00,6.65884E-03
-2.97884E+00,6.68960E-03
-2.97879E+00,6.68228E-03
-2.97874E+00,6.69399E-03
-2.97869E+00,6.67495E-03
-2.97864E+00,6.65151E-03
-2.97859E+00,6.64126E-03
-2.97854E+00,6.58413E-03
-2.97849E+00,6.54751E-03
-2.97844E+00,6.54312E-03
-2.97839E+00,6.49917E-03
-2.97834E+00,6.47427E-03
-2.97829E+00,6.44351E-03
-2.97824E+00,6.44058E-03
-2.97819E+00,6.37759E-03
-2.97814E+00,6.31899E-03
-2.97809E+00,6.24722E-03
-2.97803E+00,6.18716E-03
-2.97798E+00,6.11099E-03
-2.97793E+00,6.09780E-03
-2.97788E+00,5.99233E-03
-2.97783E+00,5.91030E-03
-2.97778E+00,5.82388E-03
-2.97773E+00,5.79751E-03
-2.97768E+00,5.83853E-03
-2.97763E+00,5.82095E-03
